137,1714,-13,-15,-17,-16,0,0,6
137,1718,-15,-15,-17,-16,0,0,7
137,1689,-15,-15,-16,-17,0,0,6
138,1682,-15,-15,-15,-17,0,0,7
137,1639,-17,-14,-15,-17,0,0,6
136,1616,-17,-14,-13,-18,0,0,7
136,1623,-17,-14,-13,-15,0,0,7
137,1565,-16,-14,-14,-15,0,0,6
137,1545,-15,-15,-14,-14,0,0,7
137,1520,-13,-15,-17,-16,0,0,6
137,1465,-13,-16,-15,-15,0,0,7
138,1464,-15,-15,-16,-14,0,0,7
138,1423,-15,-15,-15,-14,0,0,6
137,1416,-14,-14,-16,-15,0,0,7
137,1390,-14,-13,-18,-16,0,0,6
137,1388,-14,-13,-19,-17,0,0,7
138,1351,-14,-14,-20,-17,0,0,7
137,1317,-14,-13,-18,-17,0,0,6
138,1277,-14,-15,-19,-16,0,0,7
137,1270,-14,-14,-17,-14,0,0,6
138,1217,-13,-15,-17,-12,0,0,7
136,1221,-14,-16,-17,-15,0,0,6
138,1173,-16,-13,-13,-16,0,0,7
138,1172,-16,-13,-13,-16,0,0,7
136,1162,-14,-14,-13,-16,0,0,6
136,1128,-14,-15,-14,-15,0,0,7
137,1105,-15,-16,-17,-14,0,0,6
137,1092,-15,-16,-16,-14,0,0,7
137,1057,-15,-16,-16,-14,0,0,7
136,1036,-17,-15,-16,-15,0,0,6
136,993,-16,-16,-15,-15,0,0,7
137,991,-16,-17,-21,-16,0,0,6
138,944,-13,-15,-16,-16,0,0,7
137,956,-13,-15,-18,-17,0,0,7
138,930,-14,-14,-18,-18,0,0,6
137,900,-14,-14,-16,-17,0,0,7
137,865,-16,-14,-16,-16,0,0,6
137,853,-12,-15,-14,-17,0,0,7
137,832,-14,-14,-13,-17,0,0,6
137,803,-15,-15,-13,-15,0,0,7
138,774,-14,-15,-11,-16,0,0,7
137,754,-14,-13,-13,-15,0,0,6
136,737,-12,-15,-13,-12,0,0,7
136,730,-13,-15,-12,-16,0,0,6
139,718,-13,-15,-14,-16,0,0,7
137,689,-14,-14,-14,-17,0,0,7
138,679,-13,-14,-15,-16,0,0,6
136,658,-13,-14,-17,-17,0,0,7
136,628,-15,-14,-18,-18,0,0,6
136,620,-13,-15,-17,-19,0,0,7
137,597,-13,-14,-17,-19,0,0,7
137,572,-14,-14,-16,-18,0,0,6
138,557,-14,-14,-17,-16,0,0,7
139,549,-14,-15,-15,-18,0,0,6
137,534,-15,-15,-16,-17,0,0,7
137,514,-16,-15,-16,-16,0,0,6
140,496,-16,-17,-15,-16,0,0,7
138,473,-16,-16,-15,-17,0,0,7
138,462,-16,-17,-16,-15,0,0,6
137,447,-16,-16,-17,-15,0,0,7
137,430,-16,-17,-17,-16,0,0,6
137,405,-15,-15,-16,-15,0,0,7
136,380,-14,-15,-16,-13,0,0,7
137,382,-14,-15,-17,-13,0,0,6
138,365,-13,-14,-16,-14,0,0,7
137,349,-13,-14,-17,-15,0,0,6
136,335,-13,-14,-16,-15,0,0,7
137,325,-14,-13,-17,-15,0,0,7
139,312,-13,-11,-15,-16,0,0,6
137,297,-12,-14,-16,-16,0,0,7
138,283,-12,-14,-15,-16,0,0,6
138,251,-12,-14,-15,-17,0,0,7
137,239,-14,-14,-15,-16,0,0,6
137,244,-14,-14,-13,-16,0,0,7
137,233,-14,-15,-15,-17,0,0,7
139,213,-14,-15,-14,-16,0,0,6
138,209,-14,-13,-16,-15,0,0,7
137,201,-14,-14,-17,-15,0,0,6
137,186,-15,-14,-17,-13,0,0,7
137,180,-15,-15,-18,-14,0,0,7
138,167,-17,-14,-18,-13,0,0,6
137,150,-15,-14,-16,-14,0,0,7
137,128,-16,-15,-17,-13,0,0,6
137,135,-14,-15,-17,-15,0,0,7
138,127,-14,-14,-16,-17,0,0,7
138,115,-15,-14,-14,-17,0,0,6
136,94,-15,-14,-14,-18,0,0,4
137,106,-15,-15,-12,-17,0,0,7
137,93,-15,-15,-13,-18,0,0,6
137,88,-16,-15,-13,-18,0,0,7
137,72,-16,-16,-12,-16,0,0,7
138,71,-13,-16,-14,-17,0,0,6
137,68,-14,-17,-13,-16,0,0,7
137,68,-15,-15,-16,-17,0,0,6
137,55,-14,-15,-15,-17,0,0,7
137,47,-15,-15,-18,-17,0,0,7
136,39,-14,-18,-17,-19,0,0,6
137,39,-14,-17,-17,-17,0,0,7
137,32,-14,-16,-17,-19,0,0,6
136,32,-13,-15,-17,-19,0,0,7
137,23,-14,-15,-18,-18,0,0,7
137,20,-13,-14,-19,-18,0,0,6
134,17,-13,-14,-18,-18,0,0,7
136,13,-13,-15,-15,-16,0,0,6
135,8,-13,-15,-15,-15,0,0,7
135,11,-13,-14,-14,-17,0,0,6
137,2,-14,-14,-14,-16,0,0,7
136,2,-12,-14,-15,-16,0,0,7
136,3,-13,-15,-13,-17,0,0,6
136,0,-12,-13,-14,-15,0,0,7
136,0,-14,-14,-15,-14,0,0,6
136,0,-14,-15,-17,-14,0,0,7
136,0,-13,-14,-20,-12,0,0,7
137,0,-12,-14,-21,-13,0,0,6
136,0,-15,-14,-18,-13,0,0,7
137,0,-15,-15,-20,-13,0,0,6
137,0,-14,-14,-18,-15,0,0,7
137,0,-14,-15,-18,-17,0,0,7
137,2,-13,-18,-17,-16,0,0,6
138,7,-16,-15,-16,-18,0,0,7
137,4,-15,-15,-15,-16,0,0,6
137,12,-15,-14,-14,-17,0,0,7
138,16,-17,-13,-14,-16,0,0,6
135,18,-17,-15,-13,-16,0,0,7
137,20,-18,-15,-13,-15,0,0,7
136,21,-17,-13,-14,-15,0,0,6
137,30,-15,-14,-13,-15,0,0,7
137,30,-18,-15,-15,-15,0,0,6
137,37,-17,-15,-16,-13,0,0,7
136,40,-15,-14,-16,-13,0,0,7
137,44,-14,-14,-17,-14,0,0,6
136,51,-16,-14,-15,-13,0,0,7
137,57,-16,-14,-15,-17,0,0,6
139,59,-14,-15,-17,-17,0,0,7
136,66,-14,-16,-16,-18,0,0,7
136,73,-15,-16,-15,-17,0,0,6
137,95,-12,-16,-15,-17,0,0,7
136,95,-13,-16,-14,-17,0,0,6
137,102,-13,-16,-14,-18,0,0,7
135,97,-13,-16,-13,-17,0,0,6
136,107,-12,-15,-12,-18,0,0,7
136,117,-14,-15,-14,-16,0,0,7
137,131,-14,-14,-14,-18,0,0,6
137,132,-14,-15,-13,-16,0,0,7
137,148,-13,-15,-16,-17,0,0,6
137,163,-14,-13,-15,-16,0,0,7
137,181,-15,-14,-18,-17,0,0,7
137,178,-17,-13,-19,-18,0,0,6
138,202,-14,-12,-19,-16,0,0,7
138,205,-14,-13,-18,-17,0,0,6
137,207,-14,-15,-19,-17,0,0,7
137,223,-14,-15,-17,-16,0,0,7
138,230,-13,-15,-18,-17,0,0,6
139,237,-12,-14,-17,-15,0,0,7
139,259,-12,-14,-17,-14,0,0,6
139,268,-14,-16,-14,-14,0,0,7
137,286,-13,-15,-14,-16,0,0,6
137,316,-12,-16,-15,-16,0,0,7
138,333,-14,-15,-14,-16,0,0,7
138,337,-15,-16,-13,-15,0,0,6
136,346,-13,-14,-13,-15,0,0,7
137,355,-14,-15,-14,-16,0,0,6
138,368,-14,-14,-16,-15,0,0,7
137,391,-15,-14,-16,-12,0,0,7
137,394,-15,-15,-16,-16,0,0,6
138,414,-14,-14,-17,-16,0,0,7
138,429,-14,-14,-18,-14,0,0,6
136,473,-15,-12,-18,-15,0,0,7
136,483,-16,-14,-17,-15,0,0,7
137,481,-18,-14,-16,-17,0,0,6
137,496,-17,-11,-14,-18,0,0,7
136,518,-16,-14,-14,-16,0,0,6
137,527,-16,-17,-14,-15,0,0,7
137,543,-16,-17,-13,-16,0,0,6
137,571,-16,-17,-12,-14,0,0,7
136,588,-16,-18,-13,-15,0,0,7
